SRRFile	SRR639024	SRR639086	SRR639100	SRR639154	SRR639155	SRR639157	SRR639158	SRR639159	SRR639160	SRR639161	SRR639294	SRR639296	SRR639298	SRR639299	SRR639300	SRR639304	SRR639305	SRR639306	SRR639307	SRR639308	SRR639382	SRR639384	SRR639385	SRR639386	SRR639387	SRR639388	SRR639389	SRR639390	SRR639391	SRR639392	SRR639393	SRR639394	SRR639395	SRR639396	SRR639397	SRR639398	SRR639399	SRR639400	SRR639401
Organism	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
SampleType	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
Amplicon	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3	V2-V3
study_condition	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD	ASD
Platform	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454
k__Bacteria;p__;c__;o__;f__;g__	0.033816425120772944	0.0	0.0	0.005813953488372093	0.001996007984031936	0.0009099181073703367	0.0006075334143377885	0.003778337531486146	0.0	0.001488095238095238	0.0005015045135406219	0.0	0.0	0.0012476606363069245	0.0	0.0018083182640144665	0.005807814149947202	0.00558659217877095	0.0	0.0018714909544603868	0.0	0.0	0.005509641873278237	0.0	0.008101444170482565	0.016706443914081145	0.0	0.0	0.0	0.0005970149253731343	0.0	0.00033178500331785003	0.0	0.0007434944237918215	0.0	0.002369668246445498	0.0005678591709256105	0.0	0.001503194287861706
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0036231884057971015	0.09815436241610738	0.11133200795228627	0.09496124031007752	0.0	0.009099181073703368	0.06804374240583233	0.010075566750629723	0.0375796178343949	0.055059523809523815	0.4699097291875627	0.04502369668246445	0.2517857142857143	0.056768558951965066	0.0016224986479177936	0.0108499095840868	0.0031678986272439284	0.14525139664804468	0.3033149171270718	0.024953212726138492	0.32285115303983225	0.17439581972566948	0.09917355371900827	0.012066365007541479	0.021134202183867558	0.03341288782816229	0.12203791469194313	0.20722433460076045	0.0	0.7937313432835821	0.14686248331108143	0.0	0.0	0.1137546468401487	0.01805416248746239	0.1018957345971564	0.0	0.5135553834237025	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0	0.0	0.0	0.0006459948320413437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005279831045406547	0.0	0.0	0.013724266999376171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005512679162072767	0.0	0.0006675567423230974	0.0	0.0	0.0	0.0	0.0	0.0034071550255536627	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.0008389261744966443	0.0	0.001937984496124031	0.005988023952095809	0.0	0.0	0.0	0.0	0.0	0.014543630892678034	0.0	0.0	0.0018714909544603868	0.0	0.0	0.0	0.0	0.05580110497237569	0.004366812227074236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013351134846461949	0.007962840079628402	0.0	0.0	0.0	0.001184834123222749	0.018171493469619535	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05034856700232378	0.0
