Organism	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
SampleType	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	stool	biopsy	biopsy	biopsy	stool	stool	stool	stool	biopsy	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
Amplicon	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5
study_condition	CD	CD	UC	CD	 	 	CD	UC	UC	UC	UC	CD	CD	CD	 	CD	 	UC	UC	CD	CD	CD	CD	 	UC	CD	CD	CD	UC	CD	CD	UC	 	CD	CD	UC	UC	UC	CD	CD	CD	UC	CD	UC	CD	UC	CD	UC	 	UC	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	CD	UC	UC	CD	UC	UC	CD	UC	CD	CD	UC	CD	UC	CD	UC	UC	UC	UC	CD	CD	UC	CD	CD	CD	CD	 	CD	CD	CD	UC	CD	UC	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	UC	UC	UC	CD	UC	CD	CD	UC	UC	UC	UC	CD	CD	CD	CD	CD	UC	UC	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	UC	UC	CD	UC	CD	UC	UC	CD	CD	CD	UC	CD	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	CD	CD	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	UC	CD	H	H	CD	UC	UC	H	H	H	H	H	CD	CD	UC	CD	H	CD	CD	UC	CD	CD	H	H	UC	UC	H	H	H	H	UC	H	H	H	H	H	H	H	H	H	H	H	H	H
Platform	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454
HBI	4	2	 	3	0	1	9	 	 	 	 	2	1	1	 	0	2	 	 	4	1	6	 	4	 	0	 	2	 	6	2	 	 	1	4	 	 	 	3	1	1	 	0	 	 	 	 	 	 	 	0	 	4	0	 	2	2	9	3	 	5	4	 	 	 	 	 	 	2	 	2	 	 	18	 	5	 	 	 	 	2	 	 	 	0	0	3	 	 	9	3	 	4	 	0	 	 	 	 	 	4	 	 	 	 	 	 	 	 	10	5	 	 	 	 	 	0	1	2	9	 	 	0	2	1	0	1	 	8	5	6	8	5	1	 	0	2	0	0	11	 	 	0	 	1	 	 	8	5	5	 	14	0	 	1	1	 	 	3	 	 	5	2	0	0	0	3	2	0	9	 	4	6	0	0	 	1	4	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	0	 	5	 	 	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SCCAI	 	 	11	 	 	 	 	6	1	11	2	 	 	 	 	 	 	 	1	 	 	 	 	 	2	 	 	 	5	 	 	2	 	 	 	2	0	2	 	 	 	4	 	1	 	4	 	3	 	2	 	 	 	 	 	 	 	 	 	0	 	 	 	1	7	 	5	1	 	3	 	 	 	 	1	 	2	9	7	1	 	 	5	 	 	 	 	2	 	 	 	4	 	0	 	3	 	 	6	4	 	7	5	9	3	1	1	1	1	 	 	6	4	2	2	 	 	 	 	 	1	1	 	 	 	 	 	0	 	 	 	 	 	 	1	 	 	 	 	 	0	1	 	1	 	0	7	 	 	 	0	 	 	4	 	 	0	0	 	1	1	 	 	 	 	 	 	 	 	 	0	 	 	 	 	1	 	 	1	 	 	 	 	6	6	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	2	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 
active	0	0	1	0	 	 	1	1	0	1	0	0	0	0	 	0	 	 	0	0	0	1	 	 	0	0	 	0	1	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	0	 	0	0	 	0	0	1	0	0	1	0	 	0	1	 	1	0	0	0	0	 	 	1	0	1	0	1	1	0	0	 	1	 	0	0	0	 	 	1	0	0	0	0	0	0	 	 	1	0	0	1	1	 	0	0	0	 	0	1	1	1	0	0	0	 	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	 	 	 	0	1	1	 	 	 	 	 	 	 	 	0	 	1	 	0	0	0	 	 	0	0	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 
age	19	26	55	57	46	21	61	31	50	46	36	23	21	60	12	20	33	12	43	18	54	19	15	31	74	37	12	34	80	8	29	22	13	23	62	41	18	83	53	58	62	44	55	26	12	48	15	33	8	40	66	9	32	44	11	20	47	48	53	36	20	77	10	45	31	15	23	30	17	61	53	10	14	26	39	51	50	67	69	24	48	15	53	9	41	47	65	51	7	40	35	54	29	18	16	53	15	11	61	74	66	23	60	20	50	27	30	33	31	27	62	51	35	44	19	7	44	45	28	41	36	30	39	34	45	32	50	54	38	56	40	44	53	49	38	35	55	35	35	53	40	27	43	41	53	36	24	48	57	48	47	35	30	27	44	47	40	22	46	30	43	36	38	37	37	37	39	32	36	75	30	33	57	20	32	57	37	38	51	35	57	42	44	36	26	50	60	58	52	60	31	37	44	28	69	60	24	64	27	25	31	51	44	56	31	24	24	26	53	22	23	26	26	29	23	23	23	23	24	23	25	24
antibiotics	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bioploc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TI	Transverse	TI	Right	Sigmoid	Rectum	Left	TI	Transverse	Sigmoid	Right	Rectum	Transverse	Transverse	TI	Right	TI	Transverse	Sigmoid	Rectum	Left	TI	TI	Left	Sigmoid	Rectum	TI	Cecum	Rectum	Sigmoid	Rectum	TI	Left	Right	Cecum	Sigmoid	Anastamosis	Rectum	Sigmoid	Cecum	Sigmoid	Left	TI	Left	Cecum	Cecum	TI	Transverse	Rectum	Right	TI	TI	Left	TI	Left	Rectum	Rectum	Anastamosis	TI	Left	Left	TI	Transverse	TI	Left	Rectosigmoid	Sigmoid	Sigmoid	Rectum	Sigmoid	Left	Sigmoid	Sigmoid	Sigmoid	TI	TI	Left	TI	Left	Right	Left	Left	TI	TI	 	Rectosigmoid	Left	Sigmoid	 	 	 	 	Rectum	 	 	 	 	 	 	 	 	 	 	 	 	 
