Organism	human	human.1	human.2	human.3	human.4	human.5	human.6	human.7	human.8	human.9	human.10	human.11	human.12	human.13	human.14	human.15	human.16	human.17	human.18	human.19	human.20	human.21	human.22	human.23	human.24	human.25	human.26	human.27	human.28	human.29	human.30	human.31	human.32	human.33	human.34	human.35	human.36	human.37	human.38	human.39	human.40	human.41	human.42	human.43	human.44	human.45	human.46	human.47	human.48	human.49	human.50	human.51	human.52	human.53	human.54	human.55	human.56	human.57	human.58	human.59	human.60	human.61	human.62	human.63	human.64	human.65	human.66	human.67	human.68	human.69	human.70	human.71	human.72	human.73	human.74	human.75	human.76	human.77	human.78	human.79	human.80	human.81	human.82	human.83	human.84	human.85	human.86	human.87	human.88	human.89	human.90	human.91	human.92	human.93	human.94	human.95	human.96	human.97	human.98	human.99	human.100	human.101	human.102	human.103	human.104	human.105	human.106	human.107	human.108	human.109	human.110	human.111	human.112	human.113	human.114	human.115	human.116	human.117	human.118	human.119	human.120	human.121	human.122	human.123	human.124	human.125	human.126	human.127	human.128	human.129	human.130	human.131	human.132	human.133	human.134	human.135	human.136	human.137	human.138	human.139	human.140	human.141	human.142	human.143	human.144	human.145	human.146	human.147	human.148	human.149	human.150	human.151	human.152	human.153	human.154	human.155	human.156	human.157	human.158	human.159	human.160	human.161	human.162	human.163	human.164	human.165	human.166	human.167	human.168	human.169	human.170	human.171	human.172	human.173	human.174	human.175	human.176	human.177	human.178	human.179	human.180	human.181	human.182	human.183	human.184	human.185	human.186	human.187	human.188	human.189	human.190	human.191	human.192	human.193	human.194	human.195	human.196	human.197	human.198	human.199	human.200	human.201	human.202	human.203	human.204	human.205	human.206	human.207	human.208	human.209	human.210	human.211	human.212	human.213	human.214	human.215	human.216	human.217	human.218	human.219	human.220	human.221
SampleType	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	biopsy	stool	biopsy	biopsy	biopsy	stool	stool	stool	stool	biopsy	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
Amplicon	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5	v3-v5
study_condition	CD	CD	UC	CD	 	 	CD	UC	UC	UC	UC	CD	CD	CD	 	CD	 	UC	UC	CD	CD	CD	CD	 	UC	CD	CD	CD	UC	CD	CD	UC	 	CD	CD	UC	UC	UC	CD	CD	CD	UC	CD	UC	CD	UC	CD	UC	 	UC	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	CD	UC	UC	CD	UC	UC	CD	UC	CD	CD	UC	CD	UC	CD	UC	UC	UC	UC	CD	CD	UC	CD	CD	CD	CD	 	CD	CD	CD	UC	CD	UC	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	UC	UC	UC	CD	UC	CD	CD	UC	UC	UC	UC	CD	CD	CD	CD	CD	UC	UC	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	UC	UC	CD	UC	CD	UC	UC	CD	CD	CD	UC	CD	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	CD	CD	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	UC	CD	H	H	CD	UC	UC	H	H	H	H	H	CD	CD	UC	CD	H	CD	CD	UC	CD	CD	H	H	UC	UC	H	H	H	H	UC	H	H	H	H	H	H	H	H	H	H	H	H	H
Platform	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454	454
HBI	4	2	 	3	0	1	9	 	 	 	 	2	1	1	 	0	2	 	 	4	1	6	 	4	 	0	 	2	 	6	2	 	 	1	4	 	 	 	3	1	1	 	0	 	 	 	 	 	 	 	0	 	4	0	 	2	2	9	3	 	5	4	 	 	 	 	 	 	2	 	2	 	 	18	 	5	 	 	 	 	2	 	 	 	0	0	3	 	 	9	3	 	4	 	0	 	 	 	 	 	4	 	 	 	 	 	 	 	 	10	5	 	 	 	 	 	0	1	2	9	 	 	0	2	1	0	1	 	8	5	6	8	5	1	 	0	2	0	0	11	 	 	0	 	1	 	 	8	5	5	 	14	0	 	1	1	 	 	3	 	 	5	2	0	0	0	3	2	0	9	 	4	6	0	0	 	1	4	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	0	 	5	 	 	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SCCAI	 	 	11	 	 	 	 	6	1	11	2	 	 	 	 	 	 	 	1	 	 	 	 	 	2	 	 	 	5	 	 	2	 	 	 	2	0	2	 	 	 	4	 	1	 	4	 	3	 	2	 	 	 	 	 	 	 	 	 	0	 	 	 	1	7	 	5	1	 	3	 	 	 	 	1	 	2	9	7	1	 	 	5	 	 	 	 	2	 	 	 	4	 	0	 	3	 	 	6	4	 	7	5	9	3	1	1	1	1	 	 	6	4	2	2	 	 	 	 	 	1	1	 	 	 	 	 	0	 	 	 	 	 	 	1	 	 	 	 	 	0	1	 	1	 	0	7	 	 	 	0	 	 	4	 	 	0	0	 	1	1	 	 	 	 	 	 	 	 	 	0	 	 	 	 	1	 	 	1	 	 	 	 	6	6	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	2	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 
active	0	0	1	0	 	 	1	1	0	1	0	0	0	0	 	0	 	 	0	0	0	1	 	 	0	0	 	0	1	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	0	 	0	0	 	0	0	1	0	0	1	0	 	0	1	 	1	0	0	0	0	 	 	1	0	1	0	1	1	0	0	 	1	 	0	0	0	 	 	1	0	0	0	0	0	0	 	 	1	0	0	1	1	 	0	0	0	 	0	1	1	1	0	0	0	 	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	 	 	 	0	1	1	 	 	 	 	 	 	 	 	0	 	1	 	0	0	0	 	 	0	0	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 
age	19	26	55	57	46	21	61	31	50	46	36	23	21	60	12	20	33	12	43	18	54	19	15	31	74	37	12	34	80	8	29	22	13	23	62	41	18	83	53	58	62	44	55	26	12	48	15	33	8	40	66	9	32	44	11	20	47	48	53	36	20	77	10	45	31	15	23	30	17	61	53	10	14	26	39	51	50	67	69	24	48	15	53	9	41	47	65	51	7	40	35	54	29	18	16	53	15	11	61	74	66	23	60	20	50	27	30	33	31	27	62	51	35	44	19	7	44	45	28	41	36	30	39	34	45	32	50	54	38	56	40	44	53	49	38	35	55	35	35	53	40	27	43	41	53	36	24	48	57	48	47	35	30	27	44	47	40	22	46	30	43	36	38	37	37	37	39	32	36	75	30	33	57	20	32	57	37	38	51	35	57	42	44	36	26	50	60	58	52	60	31	37	44	28	69	60	24	64	27	25	31	51	44	56	31	24	24	26	53	22	23	26	26	29	23	23	23	23	24	23	25	24
antibiotics	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bioploc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TI	Transverse	TI	Right	Sigmoid	Rectum	Left	TI	Transverse	Sigmoid	Right	Rectum	Transverse	Transverse	TI	Right	TI	Transverse	Sigmoid	Rectum	Left	TI	TI	Left	Sigmoid	Rectum	TI	Cecum	Rectum	Sigmoid	Rectum	TI	Left	Right	Cecum	Sigmoid	Anastamosis	Rectum	Sigmoid	Cecum	Sigmoid	Left	TI	Left	Cecum	Cecum	TI	Transverse	Rectum	Right	TI	TI	Left	TI	Left	Rectum	Rectum	Anastamosis	TI	Left	Left	TI	Transverse	TI	Left	Rectosigmoid	Sigmoid	Sigmoid	Rectum	Sigmoid	Left	Sigmoid	Sigmoid	Sigmoid	TI	TI	Left	TI	Left	Right	Left	Left	TI	TI	 	Rectosigmoid	Left	Sigmoid	 	 	 	 	Rectum	 	 	 	 	 	 	 	 	 	 	 	 	 
