Organism	human	human.1	human.2	human.3	human.4	human.5	human.6	human.7	human.8	human.9	human.10	human.11	human.12	human.13	human.14	human.15	human.16	human.17	human.18	human.19	human.20	human.21	human.22	human.23	human.24	human.25	human.26	human.27	human.28	human.29	human.30	human.31	human.32	human.33	human.34	human.35	human.36	human.37	human.38	human.39	human.40	human.41	human.42	human.43	human.44	human.45	human.46	human.47	human.48	human.49	human.50	human.51	human.52	human.53	human.54	human.55	human.56	human.57	human.58	human.59	human.60	human.61	human.62
SampleType	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool	Stool
Amplicon	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4	V4
disease	NASH	NASH	NASH	OB	NASH	OB	H	H	NASH	H	H	NASH	NASH	NASH	OB	H	H	H	H	H	OB	H	H	H	H	NASH	NASH	NASH	OB	NASH	H	OB	OB	OB	H	OB	H	OB	OB	OB	NASH	OB	NASH	NASH	NASH	OB	OB	OB	NASH	OB	NASH	OB	OB	OB	NASH	NASH	NASH	OB	OB	OB	OB	NASH	OB
sex	M	M	M	F	F	M	F	M	F	M	F	F	F	F	M	M	M	F	M	M	M	F	M	M	M	F	F	F	F	M	M	M	F	M	F	M	F	M	F	F	M	F	M	M	M	F	M	F	M	M	F	F	F	M	M	M	F	M	M	F	F	M	M
age	12	18	9	12	16	14	14	17	13	12	12	15	20	9	17	17	16	16	15	12	14	16	13	14	12	10	9	15	15	12	15	15	13	16	15	8	14	15	14	11	13	11	13	12	17	12	15	14	14	16	20	8	17	17	9	11	15	12	7	9	9	17	7
study_condition	NASH	NASH	NASH	nonNASH-OB	NASH	nonNASH-OB	H	H	NASH	H	H	NASH	NASH	NASH	nonNASH-OB	H	H	H	H	H	nonNASH-OB	H	H	H	H	NASH	NASH	NASH	nonNASH-OB	NASH	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	H	nonNASH-OB	H	nonNASH-OB	nonNASH-OB	nonNASH-OB	NASH	nonNASH-OB	NASH	NASH	NASH	nonNASH-OB	nonNASH-OB	nonNASH-OB	NASH	nonNASH-OB	NASH	nonNASH-OB	nonNASH-OB	nonNASH-OB	NASH	NASH	NASH	nonNASH-OB	nonNASH-OB	nonNASH-OB	nonNASH-OB	NASH	nonNASH-OB
k__Bacteria;p__;c__;o__;f__;g__	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
