dataset_name	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016
study_condition	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	control	control	AD	AD	AD	AD	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.06079	0.18428	0.53528	0	0	0	0.38914	2.5169	0.39716	0.07702	0.07846	0.11342	0.08683	0.30173	0	0.0262	0	0	0.13761	0.12901	0.43915	0.42496	0.05347	0	0.17662	0	0.14576	0.14502	0.23081	0.04551	1.70778	1.52167	0	0	0.09411	0.02051	0.62544	2.71566	0.794	1.75521	2.60793	0.2525	0.35958	0.0184	0.18336	0.33142	0	0.64813	5.35961	0.7471	0.30208	0.23086	0	0	0.70009	0.66106	2.17667	1.05921	0.03405	0	0	0.15676	0.06327	6.30532	8.86934	14.39619	0	0.00158	0.71906	6.75274	0.00979	0	0.01012	0.11271	0.13283	0.02447	0	0.39553
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03765	0.0	0.0	0.0	0.07122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.22529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12905	0.0	0.01999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4139	0.33587	1.48844	2.30445	0.45207	0.27394	0.10543	0.27227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	1.43554	1.87057	0.25418	0.78193	0.50012	0.73741	0.97771	0.9935	3.2524	3.29467	0.25791	0.86043	0.15978	0.22273	0.92535	1.9025	0.08578	0.08816	1.55036	0.89732	3.04044	2.60852	1.15544	0.21801	1.37175	0.93783	0.83203	0.18271	2.14291	0.73455	2.05818	4.53429	0.09789	0.0	0.61633	0.0685	2.48885	3.45278	3.35793	2.79019	4.07784	0.27634	0.13543	0.00876	0.96954	1.51383	1.56833	0.98891	0.38199	0.28973	0.51689	0.76805	1.02518	0.27836	1.8111	1.24273	1.27855	1.2698	10.47099	9.55689	0.62357	2.14617	1.55518	7.93109	1.93274	2.74411	2.37111	2.26439	4.56253	5.02655	9.98357	17.29595	0.50498	2.30804	3.35628	1.35229	8.73932	2.84588
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified	0.0	0.0	0.0	0.0	0.0	0.00564	0.05192	0.04974	0.0	0.0	0.0	0.01716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02821	0.0	0.0	0.0	0.0	0.02628	0.01533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae	0.0	0.01328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217	0.0	0.0	0.0	0.07598	0.0	0.0	0.0	0.20346	0.0	0.0	0.0	5.41131	5.58153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30127	0.98059	0.0	0.0	0.0554	0.03452	0.0	0.0	0.11615	0.14119	0.33469	0.18627	0.0	0.0	0.0	0.02659	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae	0.0	0.0	0.0	0.0	2.36692	2.06285	0.0	0.0	0.0	0.0	0.0	0.03402	0.0	0.0	0.04673	0.32349	0.73348	0.40423	0.0	0.0	0.0	0.0	0.0	0.0	0.03631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.55982	0.90763	0.0	0.05286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30687	0.33224	0.0	0.0	0.0	0.0	0.0	0.0	0.04089	0.04908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06017	0.11507
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae	0.38752	0.76574	0.0	0.0	1.01933	1.99241	0.25958	0.71774	0.0	0.0	0.18921	0.36894	5.44313	0.10438	0.0	0.0	1.64344	2.07001	0.07567	0.0	0.10047	0.09461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.97838	9.9199	0.72643	0.17462	0.0	0.0	0.05489	0.0	0.07939	0.0	0.43378	0.26224	0.15631	0.20681	0.0	0.03174	0.0	0.0	0.0	0.0	0.17723	0.04885	0.0	0.0336	0.0	0.0	0.16598	0.30621	1.35701	0.6059	0.0	0.0	0.35071	0.57616	0.12534	0.16659	0.29406	0.07188	0.01233	0.0	0.0	0.06477	0.01584	0.01519	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae	0.0	0.0	0.0	0.0	0.2382	0.27592	0.0	0.0	0.0	0.0	0.0	0.00245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05046	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Tsukamurellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11097	0.09714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.02915	0.0	0.0	0.0	0.0	0.0	0.08445	0.43187
