dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	2.65387	0	2.06922	0	3.61987	0	0.10064	0	0	0	0.40508	8.56939	0	0	1.0564	0	0	0	0	0	0.16822	0	0	0	0	4.88678	0	0	0	0	0	0	0	0	0	0	0	3.63518	0	0	0.35803	0	1.76247	0	0	0	0	3.99734	0.04154	0	0	0	3.23825	0.01009
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.14116	0	0.04663	0	0	0	0.02895	0.26895	0.47263	0.01624	0	0	0	0.01269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02999	0	0	0	0.02353	0	0.4137	0	0	0	0	0.08173	0.07999	0.34179	0	0	0	0.00672	0.07208	0	0.12066	0.0123	0	0.01351	0	0.26717
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	8.0156	0	9.31638	3.10217	12.62047	4.12886	46.59807	0.0	16.72463	0	0	13.43161	0	4.56578	4.03215	0.74203	0	6.09727	1.77361	2.43378	4.90697	28.31649	29.73815	27.22602	0.32433	7.31025	6.58672	0	0	4.32924	14.66715	48.21434	0.70754	0	10.1353	14.87207	14.23224	36.43415	0	0.06908	0	4.37116	57.77258	41.13176	6.77621	0	0.26945	6.56474	0	30.04765	0	13.19574	7.99502	0	1.71099
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0.24743	0.56125	0.0	0	0	0	0	0.09093	0	0	0	0	0	0	0	0	0	0	0	0	0.04257	0.00934	0.11432	0	0	0	0	0	0	0	0	0.00798	0	0.08909	0	0	0	0	0	0	0	0	0.00274	0.0	0.0	0	0	0.10335	0	0.17424	0	0	0	0	0.08592
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.18189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01914	0.03334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	3.0129	7.05855	10.15848	47.82234	10.94843	2.05688	14.35379	14.8971	11.87339	6.31974	7.76483	6.74588	0.0	0.0	3.38804	2.58915	0	7.24885	0.0	0.1039	26.02355	7.80137	0.0	0.0	0.24275	12.69789	12.76279	0.0	0.0	24.76136	0.0	14.60014	0.0	0.0	0.23087	28.46907	33.89524	0.40298	3.33886	0.0	0.0	11.12128	0.0	12.9393	5.22448	1.7032	6.01091	12.4162	3.62779	20.54305	8.27752	0.0	27.25855	6.6265	11.49025
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	0.64433	1.54961	1.27124	5.35874	0.94626	0.14697	2.40889	17.70925	1.61254	4.61081	0.68353	3.74062	0.66344	0.60189	0.21905	0.71456	0	0.25433	0.2497	2.32172	2.00557	0.10711	3.89696	0.8962	0.60269	1.45834	2.10583	1.4219	4.03537	2.45816	5.24016	1.67894	1.59383	3.00587	1.37876	2.00384	2.46289	0.0	0.0	0.18334	5.51511	0.26325	0.76282	0.47732	3.56137	0.34118	1.48838	0.50317	0.01682	1.35799	1.33314	4.13708	2.79557	8.59328	1.60191
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	0.74746	0.0	0.0	1.1538	2.02661	2.12619	0.0	18.01071	4.3897	10.51364	0.0	0.0	0.10086	0.0	5.06622	0.75707	0	6.68269	1.49116	3.17597	0.53846	0.15423	0.09768	0.0	0.33362	0.1404	0.7687	4.95767	0.0	0.0	0.00732	0.39543	12.26313	0.84934	3.3049	5.68277	0.73289	0.0	0.73692	32.40727	2.4446	3.78058	0.20564	6.98015	8.15288	7.13208	0.10291	0.24345	1.631	0.01844	9.8522	0.45345	0.19884	7.5846	0.49021
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	0.0	0.0	0	0.0	0.0	0.29874	0	0.0	0.55299	0.0	0	0.0	0.0	0	0.0	0.0	0	0.85333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01231	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.07082	0.0	0	0.0	0.0	0.0	0.21357	0	0.96758	0.10242	0.15936	0	0.0	0.0	0.0	0.26591	0.0	0.466	0.45661	0.0
