dataset_name	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016	Heitz-BuschartA_2016
study_condition	T1D	T1D	T1D	control	control	control	control	control	control	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	T1D	control	control	control	T1D	T1D	control	control	control	control	control	T1D	T1D	T1D	T1D	T1D	control	control	T1D	T1D	T1D	T1D	T1D	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0.52288	0.22834	0.45593	0.00216	0.20628	0.02242	0	0	0	1.21879	1.696	0.25036	1.67828	0.65814	0.00634	0.0105	0.00739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02233	0.58628	0.70679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06331	1.81715
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37712	0.84453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0	0	0.00597	3.00E-04	0	0	0	0.02967	0.01166	0.03897	0.02745	0.01719	0.00296	0.00207	0.00096	0	0	0.00324	0.0023	0.00479	0	0	0	0	0	0.00328	0.01426	0.02152	0	0	0.08729	0.00257	0.00198	0.00292	0.02511	0.0343	0.00223	0.00162	0.00123	0.02791	0.00176	0.00604	0	0	0	0	0	0.00061	0.06064	0	0.00857	0	0.00156
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	1.82528	0.44247	1.2886	1.24529	0.28578	0.57279	0.49395	0.48662	0.7872	0.4323	4.03218	0.01091	2.07703	1.6871	0.66712	0.12919	1.35224	0.00306	0	0.17155	0	0	0	0.07729	0.03976	1.92653	1.32744	0.73479	3.96834	4.41874	9.79325	14.11818	24.50401	2.59783	2.20663	8.4127	0.81624	2.35119	4.45822	5.275	0.08603	4.28264	0.69232	0.44425	0.38153	3.66354	0.21079	6.54126	12.00059	0.23004	0.09625	0.11099	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0	0.00774	0	0	0.0	0.00213	0	0.0247	0.0	0.01006	0	0	0	0	0.00103	0.00187	0.03409	0.00414	0	0	0	0	0.0	0.0	0.00283	0.02048	0	0	0	0	0	0.01208	0.00025	0.01046	0	0	0	0.04711	0.01158	0	0.00039	0.00083	0	0	0	0	0.02609	0	0.02388	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00337	0.00096	0.0	0.0	0.03507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03606	0.0025	0.0	0.0	0.0	0.0	0.00281	0.01334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01466	0.0	0.00135	0.0	0.0	0.0	0.00184	0.0	0.00104	0.0032	0.00291	0.00316	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	2.5614	0.51344	2.45457	1.49406	0.72716	0.63892	2.21764	1.8303	1.08472	0.65729	0.74472	0.32314	1.15343	0.80253	0.79223	0.40433	0.37488	0.72573	0.1987	0.25454	0.0	0.0	0.0	0.71519	0.36386	0.53267	0.0	0.0	0.18115	0.369	6.24083	3.38668	4.97593	1.1025	1.12612	2.83713	0.20082	0.14859	3.97966	3.47807	3.88196	11.66873	0.98212	4.63271	1.34755	1.23312	1.11513	2.57726	4.95614	0.98429	1.06988	0.42817	2.16089
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae	0.50905	0.23514	0.47024	0.5025	0.63054	0.35042	0.50788	0.15916	0.32226	0.25241	0.4833	0.11419	0.16247	0.05051	0.44166	0.16122	0.26093	0.48917	0.6607	0.39978	0.26797	0.15747	0.13483	0.82104	0.24193	0.44825	0.56077	0.35724	0.32543	0.35497	0.36113	0.20451	0.29342	0.18527	0.27614	0.38308	0.25447	0.23921	0.08801	0.13363	0.05718	0.15615	0.04644	0.17867	0.02514	0.05594	0.01776	0.02649	0.03586	0.01855	0.01972	0.02363	0.127
