dataset_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0.24235	0	0	0	0	7.31397	0	0	0	0	10.49409	0	0	20.3552	0	0	0	0	0	0	0	0	0	0	11.57267	0	0	0	0	2.2084	0	9.32984	3.91189	0	0.52898	5.29092	12.16105	3.52433	0	0	1.52976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3141	0	0	0	0	0	0	0.0842	3.48456	0.61265	0	0.63196	7.49245	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.00733	0	0	0	2.2158	0	0.06489	0.01944	0	0	0	0.01972	0.02618	0.06263	0	0	0	0	0	1.41162	0.02002	0.13328	0.07831	0.01355	0	0	0	0	0	0	0	0	0	0	0	0	0.0467	0	0.02764	0.01449	0.03898	0	0.05397	0.14293	1.27724	1.53789	0	0.00513	0.01792	0.02216	0	0	0	0.00472	0.01136	0	0.24148	0	0	0	0	0	0	0	0	0.01778	0.00585	0.04199	0	0.07301	0	0.04327	0	0	0.01577	0	0	0.01048	0	0	0	0.19633	0	0	0.02173	0.04123	0	0.00595	0.17586	0.07299	0.11068	0	0.06041	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	33.8265	0	0	0	50.84182	8.93206	31.68205	43.64134	8.64134	17.13398	35.41154	14.87836	49.52886	20.43879	0.2339	22.20143	31.50675	24.5198	0	0.0	23.55334	0.02443	0.0	0	49.72891	4.60903	8.76475	6.71975	11.40556	20.16719	44.92683	28.34951	13.29796	11.32945	34.97797	13.82121	24.70205	13.19313	8.56254	8.03526	38.50166	29.13018	10.46357	17.95976	0.7618	8.92458	0.06498	3.92643	0.0	0.06387	31.27815	33.52381	29.04136	21.75907	34.66734	5.32368	16.21015	0	0	0	0	0.74275	8.76041	15.33248	7.69155	0.14671	0.06342	0.20004	2.04233	39.48011	32.82233	33.06708	42.15238	57.87903	57.01862	1.91861	1.23487	24.11741	2.48633	14.73862	29.64652	3.33117	0	0.49418	26.48101	7.09977	40.41156	11.45663	24.955	0.77336	0.04084	4.53399	5.95498	21.99104
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0	0	0	0.0	0.0	0.0	0.05568	0.0	0.0	0.0	0.0	0.0	0.0732	0.0	0.0	0.0	0.0	0	0.01192	0.0	0.0	0.00758	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00176	0.0	0.0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10968	0.04932	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.05174	0.0	0.0	0.0	0.0	0.0	0.0	0.01272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	5.31777	0	0.0	0	0	0.08881	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.14126	0.77632	0.49553	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.01073	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.00466	0.0	0.0	0.0355	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00888	0.0	0.0	0.0	0.0	0.0	0.02329	0.0	0.02077	0.0062	0.0	0.15578	0.06669	0.0	0.00572	0.00969	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.00078	0.03715	0.0	0.0	0.0	0.0	0.0221	0.0	0.06459	0.0	0.0	0.0	0.01404	0.0	0.0	0.0	0.0	0.10017	0.0	0.0	0.0	0.0	0.00935	0.00133	0.01396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.08973	0.0	0.0	0.0	0.02142	0.01086	0.02632	0.01197	0.00617	0.0	0.0	0.0	0.0017	0.0	0.0	0.17558	0.0	0.0124	0.0	0.01691	0.01772	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0	0.0	0.98751	0.0	0.0	0.00795	0.01832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05815	0.0	0.04799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00889	0.01012	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	11.97269	0.0	0.0	0.0	19.66893	9.55108	7.59478	15.64425	3.92458	3.57492	6.47971	18.11341	3.16397	23.389	10.79229	11.90325	2.11265	2.5693	0.0	0.0	6.19823	0.0	0.0	0.0	3.00825	3.05699	0.09657	3.54737	0.0	3.33083	5.05043	6.13826	7.08056	14.06748	3.45884	0.27746	6.09949	11.52639	7.52089	20.4058	9.99711	24.97992	2.68406	18.72629	0.0	0.0	0.0	4.11347	0.0	0.0	15.5672	24.31647	35.58455	18.49937	29.66755	2.77778	3.27321	29.78762	11.16093	37.05607	49.76807	38.72029	2.11983	7.7885	7.57252	9.3055	10.33111	13.65514	3.91448	0.0	0.0	0.0	0.0	5.04388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.20875	5.02731	5.72084	2.36847	6.28756	14.59008	7.63995	7.97807	1.61965	0.0
