dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
study_condition	control	control	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	CRC	control	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	CRC	control	control	CRC	control	CRC	control	CRC	control	control	control	control	control	CRC	CRC	control	CRC	CRC
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0	0.00221	0	0.00058	3.39812	0	0	0.13338	0	0.88116	0.39729	0	0	4.64882	0	0	0.32069	0	0.18862	1.12579	0.01469	0	0	2.75236	0	0.03172	0	0	0	0	0.05547	0	0	0	0	0.4861	0	0.1614	0.2375	0	0.68604	0.01197	1.21133	0	0	0.41986	0	0	0	0	0	0.21937	0	0	0.00858	0.03554	0.26687	0	0	0	0.00142	0	0	0.90192	0.00794	1.12226	0	0.02557	0.00592	1.52852	0	0	19.18022	0	0	0	0.03643	0	1.95705	0.21921	0	0	0.03036	0.02388	0	0	0	1.837	0.50711	0	0	0	0.30245	2.90989	0.42638	1.45428	0	0	0	0.41988	0	2.6477	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae	0	0	0	0	0	1.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91552	0	0	0	0	0	0	0	0.09003	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.0034	0	0.00136	0.01301	0.00605	0.05455	0	0.00105	0.00418	0.04808	0	0.00022	0.00623	0.00453	0.005	0	0	0.00377	0.00196	0	0	9.00E-04	0	0.00199	0	0.01157	0	9.00E-05	0.00181	0	0.00696	0.01659	0.00884	0.00209	0	0.03208	0.00588	0	0.00857	0	0.52535	0	0.03722	0.0019	0	0.00038	0.00609	0	0.0012	0.00125	0.08896	0.03201	0	0	0	0.13538	0	0.0132	0.01848	0.01683	0.01331	0	0	0	0	0.00515	0.11122	0	0.0048	0.00147	0	0.00115	0.00267	0.07141	0.00444	0.00127	0	0.00256	0.00527	0.00267	0.00088	0	0.00503	0.00872	0	0.00661	0.00551	0	0	0	0.0022	0.00125	0	0.00075	0.00261	0	0	0	0.01783	0.00468	0.03384	0.00381	0.00031	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	0.0	1.17084	0.12088	0.68199	0.00028	0.02941	2.88884	0.00663	0	0.34604	0.0487	0.10611	0.00126	0.04959	1.709	0.19781	0.06126	0.03731	1.12531	0.23788	0.25756	0.03834	6.3017	1.48235	0.20144	0.0	0.79565	0.48924	0	0.66971	0.03038	0.70866	0	3.95292	0.2841	0.08036	0.042	0.44507	0.34357	1.23286	0.12856	0	0.06144	2.08047	8.10244	0.26782	0.02222	0.29964	0	0	0	0.21732	0.21595	0	0.00442	1.41048	0.01402	0.01426	0.0	0.0008	28.48367	1.35822	0.48563	0	0.01346	0.01161	1.928	1.61557	0.01474	0.79043	0.11448	0.23491	0.00859	0.06831	1.56262	0.06651	0	0.01433	1.93769	0.15651	0.0	0.15676	0	0.00974	0.00264	0.07765	3.35786	0.00172	9.55452	4.28669	0.00402	0.6967	5.84472	3.69655	0	2.26894	2.68482	1.24546	0.36786	1.06779	0.02986	10.52324	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.00195	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0	0	0	0	0	0.00866	0.02361	0	0.03302	0	0.01576	0	0	0	0.00042	0	0.00493	0	0	0	0	0	0	0	0	0	0	0	0.01378	0	0.00993	0	0	0	0.07161	0	0	0.02181	0	0.21013	0	0	0	0	0	0.00462	0.00208	0	0	0.01221	0.01709	0	0	0.0	0.02616	0.01011	0.00611	0	0.01059	0	0	0	0	0	0.0	0.00012	0	0	0	0	0.00295	0	0.0	0	0	0	0	0	0.00203	0	0	0	0	0.00047	0.0	0.00416	0	0	0	0	0	0.00282	0.00507	0	0	0	0	0.02591	0	0.0005	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0	0.0	0.0	0.00464	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	0.0	0.0	0.0	0.00077	0.0	0.01336	0.0	0.0	0.0	0.00819	0.00084	0.0	0.0	0.0	0.02454	0.0	0.0	0.08332	0.0	0.00035	0.0	0.00349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.00193	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.02238	0.0	0.0	0.00276	0.0	0.0	0.02744	0.00055	0.0	0.0	0.00703	0.004	0.00228	0.0	0.0	0.17385	0.0	0.0	0.0101	0.00397	0.0065	0.0	0.0	0.0	0.0	0.0	0.00131	0.0	0.00116	0.0	0.00557	0.0	0.0	0.03012	0.00339	0.0	0.04009	0.0	0.00049	0.00791	0.0	0.0	0.0	0.0	0.00625	0.0	0.0	0.0	0.00483	0.00078	0.0	0.0	0.0	0.0	0.0	0.01955	0.12138	0.00015	0.0	0.0	0.0	0.0	0.0	0.0
