dataset_name	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018	WirbelJ_2018
study_condition	control	control	CRC	CRC	CRC	CRC	CRC	control	control	control	control	CRC	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	control	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	CRC	control	CRC	control	CRC	control	control	control	control	CRC	control	control	CRC	CRC	control	control	CRC	CRC	control	CRC	CRC	control	CRC	control	CRC	control	control	control	control	control	CRC	CRC	CRC	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	CRC	CRC	control	CRC	CRC	control	control	CRC	control	CRC	control	CRC	CRC	CRC	control	control	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	control	CRC	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae	0	0	0.19406	0.00173	0	0	0.51418	0	0.00722	1.10376	0	0.14258	0	0	0.00276	1.75557	0.04008	0.30753	0.1016	0	0	1.49843	0	0	0	1.01424	0	0	2.25136	0	2.5148	0.06125	0.4466	0	0	0	0	1.86507	0.02866	0	0	0.24457	0.24951	0.34319	0	0.01862	0.03064	1.00038	0	0	0	1.62505	0	1.95992	0.00393	0	0	0	0	0.04932	0	0.0261	0	0	0.16182	0	0.01267	0	0	0	0	0.2698	0.02022	0	0.10524	0	0.02082	0.1394	0	0	0.30233	0.43673	0	0	0	0	0.31543	0	0	0	0.01093	0	0	0.15331	0.03816	0	0.02898	0.02414	0	2.06197	0	0.7188	0.00022	0	0.0549	0.05655	3.11556	0	0	0	0	0.01614	0	0.0856	0	0	0.46905	0	0	0.00798	0	0	0	0	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae	0.01461	0.00736	0.02799	0	0.0452	0.11315	0	0.01137	0.01035	0.00262	0.00726	0.00017	0.10637	0.04117	0.48327	0.24835	0	0.03497	0	0.00036	0.0024	0	0	0	0	0.06838	0.00186	0	0.00661	0	0.00221	0.00332	0.01756	0	0.00071	0	0	0.03214	0.09541	0.01112	0	0	0	0.00945	0.00497	0	0	0.15943	0.01015	0	0.00241	0	0	0	0.00777	0.00687	0.30814	0.01876	0.00063	0	0	0.02989	0.01298	0.0147	0.01807	0.00417	0.0344	0.00204	0.21165	0	0	0.02343	0.508	0.04656	0.00674	0.00132	0	0.00804	0.01089	0.1548	0	0	0	0	0.03658	0	0.04446	0	0	0.0115	0.07676	0.00337	0.04931	0.01316	0	0.00851	0	0	0.0089	0	0.00366	0.00732	0.04833	0.01092	0.22121	0	0.02471	0.00502	0	0	0.01072	0.02441	0.00059	0.01016	0.04396	0.00043	0.00796	0.00389	0	0	0.00991	0.00492	0.0013	0.01395	0.00449
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	3.67179	19.31366	2.77409	4.0917	0.08412	1.04551	2.70364	1.48061	6.41899	2.53686	0.33454	1.15988	0.0	5.06607	0.14961	2.52986	4.78513	0.77708	0.00305	0.44584	2.46405	0	1.16593	1.31372	7.38695	0.75636	4.30653	5.07175	1.45282	13.43812	0.0161	4.90626	0.22696	0.09849	0.17948	0.01636	4.91837	3.7528	0.81589	5.39681	12.34865	0.04883	2.56152	0.99355	0.01147	0.17994	8.55813	1.92604	3.5794	6.13569	0.72856	4.3148	10.26188	0	5.23403	1.7724	0.03862	3.21199	3.22243	4.40824	0.74689	7.55412	10.49462	4.10843	31.47979	7.10071	0.03764	0.01244	4.57333	0	0.35435	6.89044	3.56196	9.65	0	2.0327	0.01591	0.30905	4.84909	6.07591	5.90964	0.84423	0.84467	3.39352	3.80329	28.8496	2.3214	0.07293	0	5.83747	1.29655	0.00211	3.27381	6.99253	2.51701	0.00132	4.71529	1.24054	7.53467	13.85195	1.88333	1.00823	0.02206	20.43157	7.82716	0	10.25977	0.63461	3.93924	0.99082	2.77154	0.15579	2.70808	19.60534	0.01298	1.28049	9.17986	0.6014	2.99574	3.17987	4.52269	6.67843	4.01991	17.58919	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95061	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.03047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01527	0.0	0.02785	0.0	0.0	0.0	0.0	0.0	0.01121	0	0.0	0.0	0.0	0.00565	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07524	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.01598	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00198	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Brevibacteriaceae	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02438	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	0	0.01834	0	0	0.0	0	0	0.05515	0.00363	0	0.00629	0.00922	0.01208	0.00888	0.00129	0.0	0.0	0.01914	0.0	0	0	0.00476	0	0	0	0.04619	0.02228	0	0	0	0	0.03064	0	0	0	0	0	0.02841	0.00682	0.00064	0.00482	0	0.00025	0.00365	0.00714	0.01552	0.00355	0.00029	0.02037	0	0.0039	0	0	0.0	0	0.00046	0.00481	0	0.0	0.0	0.0	0	0.0	0.00455	0.00165	0.00758	0.00982	0.04888	0.0	0.0036	0	0	0	0.0	0	0	0	0	0.00356	0	0	0	0	0	0	0	0.00752	0	0	0.01374	0.0147	0	0.00232	0	0.01913	0.0	0	0	0	0.08463	0.00858	0.00048	0.00669	0.00847	0.0514	0.01339	0.01125	0.00059	0.0	0.00128	0.02823	0.00574	0.00056	0.00039	0.0055	0	0	0.00079	0.00692	0	0	0.00334	5e-05	0.00031	0.01167
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcales_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0	0.0	0.0
