dataset_name	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016	ChngKR_2016
study_condition	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	control	control	control	control	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	AD	control	control	AD	AD	AD	AD	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	AD	AD	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0.01249	0.03845	0	0	0	0	0	0	0	0.00957	0.03118	0.00429	0	0	0	0	0	0	0	0	0.06479	0.25131	0	0	0	0	0	0.02406	0	0	0	0	0	0	0.07355	0.16141	0	0	0.0626	0	0	0	0	0	0	0	0.12682	0	0	0	0	0	0	0.27062	0	0	0	0	0	0.32805	0	0	0.0038	0	0	0	0	0.18179
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0.06079	0.18428	0.53528	0	0	0	0.38914	2.5169	0.39716	0.07702	0.06597	0.07497	0.08683	0.30173	0	0.0262	0	0	0.13761	0.11943	0.40797	0.42067	0.05347	0	0.17662	0	0.14576	0.14502	0.23081	0.04551	1.64299	1.27036	0	0	0.09411	0.02051	0.62544	2.6916	0.794	1.75521	2.60793	0.2525	0.35958	0.0184	0.10981	0.17001	0	0.64813	5.29701	0.7471	0.30208	0.23086	0	0	0.70009	0.66106	2.04985	1.05921	0.03405	0	0	0.15676	0.06327	6.0347	8.86934	14.39619	0	0.00158	0.71906	6.42469	0.00979	0	0.00632	0.11271	0.13283	0.02447	0	0.21374
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4139	0.33587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45207	0.27394	0.10543	0.27227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12905	0.0	0.01999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48844	2.30445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	1.43554	1.87057	0.25418	0.78193	0.50012	0.73741	0.97771	0.9935	3.2524	3.29467	0.25791	0.86043	0.15978	0.22273	0.92535	1.9025	0.08578	0.08816	1.55036	0.89732	3.04044	2.60852	1.15544	0.21801	1.37175	0.93783	0.83203	0.18271	2.14291	0.73455	2.05818	4.53429	0.09789	0	0.61633	0.0685	2.48885	3.45278	3.35793	2.79019	4.07784	0.27634	0.13543	0.00876	0.96954	1.51383	1.56833	0.98891	0.38199	0.28973	0.51689	0.76805	1.02518	0.27836	1.8111	1.24273	1.27855	1.2698	10.47099	9.55689	0.62357	2.14617	1.55518	7.93109	1.93274	2.74411	2.37111	2.26439	4.56253	5.02655	9.98357	17.29595	0.50498	2.30804	3.35628	1.35229	8.73932	2.84588
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriales_unclassified.g__Lawsonella	0.0	0.0	0.0	0.0	0.0	0.00564	0.05192	0.04974	0.0	0.0	0.0	0.01716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02821	0.0	0.0	0.0	0.0	0.02628	0.01533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Dietziaceae.g__Dietzia	0.0	0.01328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217	0.0	0.0	0.0	0.07598	0.0	0.0	0.0	0.20346	0.0	0.0	0.0	5.41131	5.58153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30127	0.98059	0.0	0.0	0.0554	0.03452	0.0	0.0	0.11615	0.14119	0.33469	0.18627	0.0	0.0	0.0	0.02659	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Gordoniaceae.g__Gordonia	0.0	0.0	0.0	0.0	2.36692	2.06285	0.0	0.0	0.0	0.0	0.0	0.03402	0.0	0.0	0.04673	0.32349	0.73348	0.40423	0.0	0.0	0.0	0.0	0.0	0.0	0.03631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00661	0.0	0.0	0.0	0.55982	0.90763	0.0	0.05286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30687	0.33224	0.0	0.0	0.0	0.0	0.0	0.0	0.04089	0.04908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06017	0.11507
