dataset_name	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017	HanniganGD_2017
study_condition	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	0	2.65387	0	2.06922	0	3.61987	0	0.10064	0	0	0	0.40508	8.56939	0	0	1.0564	0	0	0	0	0	0.16822	0	0	0	0	4.88678	0	0	0	0	0	0	0	0	0	0	0	3.63518	0	0	0.35803	0	1.76247	0	0	0	0	3.99734	0.04154	0	0	0	3.23825	0.01009
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28225	0	0	0	0	0	0	0	0	0	0	0	0.05296	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0.14116	0	0.04663	0	0	0	0.02895	0.21066	0.47263	0.01624	0	0	0	0.01269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02999	0	0	0	0.02353	0	0.13145	0	0	0	0	0.08173	0.07999	0.34179	0	0	0	0.00672	0.01912	0	0.12066	0.0123	0	0.01351	0	0.26717
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Trueperella	0.0	0	0.0	0.0	0.0	0.0	0.0	0.05829	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	8.0156	0	9.31638	3.10217	12.62047	4.12886	46.59807	0.0	16.72463	0	0	13.43161	0	4.56578	4.03215	0.74203	0	6.09727	1.77361	2.43378	4.90697	28.31649	29.73815	27.22602	0.32433	7.31025	6.58672	0	0	4.32924	14.66715	48.21434	0.70754	0	10.1353	14.87207	14.23224	36.43415	0	0.06908	0	4.37116	57.77258	41.13176	6.77621	0	0.26945	6.56474	0	30.04765	0	13.19574	7.99502	0	1.71099
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia	0.24743	0.56125	0.0	0	0	0	0	0.09093	0	0	0	0	0	0	0	0	0	0	0	0	0.04257	0.00934	0.11432	0	0	0	0	0	0	0	0	0.00798	0	0.08909	0	0	0	0	0	0	0	0	0.00274	0.0	0.0	0	0	0.10335	0	0.17424	0	0	0	0	0.08592
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Propionibacterium	0.0	0.0	0.18189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01914	0.03334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella	3.0129	7.05855	10.15848	47.75666	10.93486	2.05688	14.34263	14.87278	11.87339	6.31974	7.76483	6.74588	0.0	0.0	3.38804	2.58915	0	7.2417	0.0	0.1039	25.99103	7.80137	0.0	0.0	0.24275	12.6831	12.76279	0.0	0.0	24.76136	0.0	14.54513	0.0	0.0	0.23087	28.45074	33.87828	0.40298	3.33886	0.0	0.0	11.12128	0.0	12.60421	5.22448	1.7032	6.01091	12.41245	3.62779	20.525	8.27752	0.0	27.25029	6.6265	11.48798
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	0.0	0.0	0.0	0.06568	0.01357	0.0	0.01115	0.02432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.00715	0.0	0.0	0.03252	0.0	0.0	0.0	0.0	0.01479	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.01833	0.01695	0.0	0.0	0.0	0.0	0.0	0.0	0.33509	0.0	0.0	0.0	0.00375	0.0	0.01806	0.0	0.0	0.00826	0.0	0.00226
