dataset_name	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013	KarlssonFH_2013
study_condition	control	control	control	control	control	control	control	control	control	control	T2D	control	control	control	control	control	T2D	control	control	control	T2D	T2D	T2D	T2D	T2D	control	control	control	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	T2D	control	control	T2D	T2D	control	T2D	T2D	T2D	T2D	control	control	control	control	control	control	control	control	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	0	0	3.56364	0.83912	9.28705	0.0667	0.70695	0	0	0.31143	0.16602	0.73986	4.20148	0	0	0.69907	0	3.69241	0	7.86288	0	0	0	0	17.74674	3.41586	0	0	0.32707	0	0.22899	0	0	0	4.41472	0	1.19069	1.88593	3.50291	0	0	0.00319	0.73967	0	0	8.39817	0	0.99471	0	0	5.43113	1.21708	0.3941	0.42259	0.23238	0	0	0	0.96594	0	0	0	3.29571	0.10796	2.56175	0.71723	0	1.97903	0.33165	1.2302	0.09652	0	0	1.63319	0.0724	0	1.17608	2.38071	0	0	0	4.91214	0.07946	1.17256	0	0	0	0.60149	0	2.36439	6.92651	0.00136	2.48848	2.07333	7.78051	0
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera	0	0	0.27514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99506	0	0	0	0	0	0	0	0	0	0	0.26074	0	0	0	0	0	0	0	0.1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04708	0	0.16852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29385	0	0	0	0	0	0	0	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Methanomassiliicoccus	0	0	0.09549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00092	0	0	0	0	0	0	0	0	0.00365	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0.08599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	0	0	0	0	0	0.00484	0	0.01732	0.01074	0.03938	0	0.05552	0.00262	0.01095	0.02104	0.03712	0.02178	0.02563	0	0.0401	0	0.01407	0.01016	0.00059	0.03719	0	0	0.07072	0	0.09748	0	0.04333	0.01622	0.02989	0.02361	0.00523	0	0.03354	0.00488	0.0167	0.00248	0.01684	0.03878	0.10805	0.13024	0	0.00494	0.00934	0.00485	0.05251	0.02792	0.00391	0.00444	0.22591	0	0	0.13758	0.07204	0.07006	0.00437	0.04002	0.09328	0.03772	0.00611	0.06982	0.10408	0.05286	0	0.05224	0.03425	0.00925	0.01856	0	0.01482	0.03859	0	0.00335	0.00123	0.09825	0.02712	0.06294	0.00693	0.01565	0.01066	0	0.14232	0.00087	0	0	0	0.07404	0	0.00121	0	0.02963	0.00895
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Aeriscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00531	0.00376	0.0	0.00433	0.01001	0	0.00716	0.00317	0	0.0	0.0	0.0	0.02411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.01563	0.01826	0.0	0.0	0.0	0.0	0.0	0.0	0.0051	0.0	0.0	0.0	0.00865	0.0	0.0	0.0	0.00246	0	0.00964	0.0	0.03856	0.0	0.01401	0.00701	0.0	0.0	0.0	0.0	0.0	0.0	0	0.00899	0.00312	0.00952	0.015	0.0	0.00915	0.01312	0.02679	0.00396	0.0	0.0	0.00173	0.00617	0.0	0.01447	0.00574	0.00524	0.0	0.0	0.00863	0.0	0.0	0.02492	0.00454	0.00585	0.0	0.0	0.0	0.0	0.00885	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.02522	0.0	0.05095	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.00825	0.0	0.00413	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	0.73987	3.30089	5.8362	1.75903	1.89125	2.88455	5.39971	1.94677	1.67581	3.20199	0.99716	3.556	3.95156	0	1.70973	3.76573	0	0.37783	3.01616	0.18275	17.56628	2.48568	9.30902	3.22057	1.74199	3.06871	5.63126	1.16265	8.62218	0	6.86808	13.75525	1.11066	3.09763	0.78559	1.80079	0.42511	1.54102	4.10401	3.97467	4.98351	3.00097	1.65715	0.03943	0.29223	0.03654	1.31456	0	4.543	1.39142	21.63318	0.05268	14.80296	3.25852	5.54366	3.13288	3.53597	6.32059	3.17208	0.56237	0	4.91221	3.12682	1.56101	7.29381	0.99672	14.17681	5.96344	11.40847	8.16623	1.8282	4.75021	2.20858	13.14943	0.49069	7.52669	1.84593	7.18746	3.12465	2.32553	4.41167	2.27063	1.75007	16.27727	2.73061	2.85173	3.83794	1.33361	6.48627	3.04041	1.45869	28.51309	0.0	7.50611	2.41126	0.04089
