dataset_name	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017	IjazUZ_2017
study_condition	IBD	IBD	IBD	IBD	control	control	control	IBD	control	control	control	control	control	IBD	control	control	control	control	IBD	IBD	IBD	IBD	IBD	IBD	control	control	control	control	control	control	control	IBD	control	control	control	control	control	control	control	control	IBD	control	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	IBD	IBD	control	IBD	IBD	IBD	IBD	control	control	control	IBD	IBD	IBD	IBD	control	control
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0	0.24235	0	0	0	0	7.31397	0	0	0	0	10.49409	0	0	20.3552	0	0	0	0	0	0	0	0	0	0	11.57267	0	0	0	0	2.2084	0	9.32984	3.91189	0	0.52898	5.29092	12.16105	3.52433	0	0	1.52976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3141	0	0	0	0	0	0	0.0842	3.48456	0.61265	0	0.63196	7.49245	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.00733	0	0	0	2.2158	0	0.06489	0.01944	0	0	0	0.01972	0.02618	0.06263	0	0	0	0	0	1.41162	0.02002	0.13328	0.07831	0.01355	0	0	0	0	0	0	0	0	0	0	0	0	0.0467	0	0.02764	0.01449	0.03898	0	0.05397	0.14293	1.27724	1.53789	0	0.00513	0.01792	0.02216	0	0	0	0.00472	0.01136	0	0.24148	0	0	0	0	0	0	0	0	0.01778	0.00585	0.04199	0	0.07301	0	0.04327	0	0	0.01577	0	0	0.01048	0	0	0	0.19633	0	0	0.02173	0.04123	0	0.00595	0.17586	0.07299	0.11068	0	0.06041	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	33.8265	0	0	0	50.84182	8.93206	31.68205	43.64134	8.64134	17.13398	35.41154	14.87836	49.52886	20.43879	0.2339	22.20143	31.50675	24.5198	0	0.0	23.55334	0.02443	0.0	0	49.72891	4.60903	8.76475	6.71975	11.40556	20.16719	44.92683	28.34951	13.29796	11.32945	34.97797	13.82121	24.70205	13.19313	8.56254	8.03526	38.50166	29.13018	10.46357	17.95976	0.7618	8.92458	0.06498	3.92643	0.0	0.06387	31.27815	33.52381	29.04136	21.75907	34.66734	5.32368	16.21015	0	0	0	0	0.74275	8.76041	15.33248	7.69155	0.14671	0.06342	0.20004	2.04233	39.48011	32.82233	33.06708	42.15238	57.87903	57.01862	1.91861	1.23487	24.11741	2.48633	14.73862	29.64652	3.33117	0	0.49418	26.48101	7.09977	40.41156	11.45663	24.955	0.77336	0.04084	4.53399	5.95498	21.99104
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0	0	0	0.0	0.0	0.0	0.05568	0.0	0.0	0.0	0.0	0.0	0.0732	0.0	0.0	0.0	0.0	0	0.01192	0.0	0.0	0.00758	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00176	0.0	0.0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31777	0.0	0.0	0.0	0.0	0.08881	0.10968	0.04932	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.05174	0.0	0.0	0.0	0.0	0.0	0.0	0.01272	0.0	0.0	0.0	1.14126	0.77632	0.49553	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0.01073	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.00466	0.0	0.0	0.0355	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00888	0.0	0.0	0.0	0.0	0.0	0.02329	0.0	0.02077	0.0062	0.0	0.15578	0.06669	0.0	0.00572	0.00969	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.00078	0.03715	0.0	0.0	0.0	0.0	0.0221	0.0	0.06459	0.0	0.0	0.0	0.01404	0.0	0.0	0.0	0.0	0.10017	0.0	0.0	0.0	0.0	0.00935	0.00133	0.01396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.08973	0.0	0.0	0.0	0.02142	0.01086	0.02632	0.01197	0.00617	0.0	0.0	0.0	0.0017	0.0	0.0	0.17558	0.0	0.0124	0.0	0.01691	0.01772	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	11.97269	0.0	0.0	0.0	20.65644	9.55108	7.59478	15.65219	3.9429	3.57492	6.47971	18.11341	3.16397	23.389	10.79229	11.90325	2.11265	2.5693	0.0	0.0	6.19823	0.0	0.0	0.0	3.00825	3.05699	0.09657	3.62652	0.0	3.33083	5.05043	6.13826	7.08056	14.06748	3.45884	0.27746	6.09949	11.52639	7.52089	20.4058	9.99711	24.97992	2.68406	18.78444	0.0	0.04799	0.0	4.11347	0.0	0.0	15.5672	24.31647	35.58455	18.49937	29.66755	2.77778	3.27321	29.78762	11.16093	37.05607	49.76807	38.72029	2.11983	7.7885	7.57252	9.3055	10.33111	13.65514	3.91448	0.0	0.0	0.0	0.0	5.04388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.21764	5.03744	5.72084	2.37147	6.28756	14.59008	7.63995	7.97807	1.61965	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	3.58603	14.66911	0.169	0.18673	0.83328	1.16513	0.32451	1.61517	1.39689	2.4441	2.24022	0.93763	2.46745	3.58	0.35208	0.56447	1.37809	0.52137	9.1708	58.26361	2.43959	12.07776	5.48727	9.8695	1.73276	0.16251	1.45347	0.99182	1.10654	0.48608	1.39724	1.54398	1.86885	1.30501	0.9327	2.46653	1.04705	1.80033	0.34726	2.34115	2.2606	0.21745	0.92552	1.34163	0.06628	0.0	0.0	1.59587	0.0	0.0	1.38482	1.95303	1.73632	0.85479	0.92214	3.27957	0.83607	9.34378	0.93582	1.74992	1.68973	4.57445	1.68734	4.32236	2.36216	2.94855	2.4474	4.38001	0.56056	3.48819	2.89263	1.56424	3.02609	0.4201	5.9885	3.04263	10.43844	6.54627	2.12467	2.00643	1.38514	0.0	0.0	0.0	2.03285	3.32204	1.11055	1.30282	0.66281	4.29081	1.65245	0.43546	0.21374	4.5231
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	0.01892	0.1636	0.02049	0.00165	1.00626	2.34552	3.37167	0.16309	1.21169	1.92787	0.89674	0.07182	0.07141	0.46312	9.89274	1.04431	1.73012	31.4781	43.73072	0.0	0.0289	1.39755	0.22978	0.20065	0.62251	6.8351	24.26953	7.14415	13.41516	3.30376	0.80429	0.02337	0.01947	0.03811	0.0	0.0	0.0094	1.15323	0.02658	0.96847	0.04565	0.08886	0.16625	0.03009	3.60726	0.23178	1.02797	0.04373	0.17126	0.64026	0.0	0.0	0.0	0.0	0.11022	1.4962	8.04802	0.3206	30.54844	0.31763	0.3374	0.0	0.56312	0.15718	12.37962	0.07325	1.16581	0.48683	34.69639	0.19289	0.30337	0.5237	0.43513	0.00077	0.49992	25.65468	7.15695	0.03854	0.11758	25.00883	0.54447	10.36761	86.98846	52.17973	0.00237	0.79819	6.54922	1.47113	5.44873	0.08038	0.0	14.8792	2.67751	8.34908
