BioSample_s	SAMN03565741	SAMN03565809	SAMN03565808	SAMN03565807	SAMN03565806	SAMN03565805	SAMN03565793	SAMN03565794	SAMN03565795	SAMN03565796	SAMN03565797	SAMN03565798	SAMN03565799	SAMN03565800	SAMN03565801	SAMN03565802	SAMN03565803	SAMN03565804	SAMN03565769	SAMN03565770	SAMN03565771	SAMN03565772	SAMN03565773	SAMN03565774	SAMN03565775	SAMN03565776	SAMN03565777	SAMN03565778	SAMN03565779	SAMN03565780	SAMN03565781	SAMN03565782	SAMN03565783	SAMN03565784	SAMN03565785	SAMN03565786	SAMN03565787	SAMN03565788	SAMN03565789	SAMN03565790	SAMN03565791	SAMN03565792	SAMN03565719	SAMN03565721	SAMN03565722	SAMN03565723	SAMN03565724	SAMN03565725	SAMN03565726	SAMN03565727	SAMN03565728	SAMN03565729	SAMN03565730	SAMN03565731	SAMN03565732	SAMN03565733	SAMN03565734	SAMN03565735	SAMN03565736	SAMN03565737	SAMN03565738	SAMN03565739	SAMN03565740	SAMN03565742	SAMN03565743	SAMN03565744	SAMN03565745	SAMN03565746	SAMN03565747	SAMN03565748	SAMN03565749	SAMN03565750	SAMN03565751	SAMN03565752	SAMN03565753	SAMN03565754	SAMN03565755	SAMN03565756	SAMN03565757	SAMN03565758	SAMN03565759	SAMN03565760	SAMN03565761	SAMN03565762	SAMN03565763	SAMN03565764	SAMN03565765	SAMN03565766	SAMN03565767	SAMN03565768	SAMN03565707	SAMN03565708	SAMN03565709	SAMN03565710	SAMN03565711	SAMN03565712	SAMN03565713	SAMN03565714	SAMN03565715	SAMN03565716	SAMN03565717	SAMN03565718	SAMN03565720
Experiment_s	SRX1011194	SRX1011262	SRX1011261	SRX1011260	SRX1011259	SRX1011258	SRX1011246	SRX1011247	SRX1011248	SRX1011249	SRX1011250	SRX1011251	SRX1011252	SRX1011253	SRX1011254	SRX1011255	SRX1011256	SRX1011257	SRX1011222	SRX1011223	SRX1011224	SRX1011225	SRX1011226	SRX1011227	SRX1011228	SRX1011229	SRX1011230	SRX1011231	SRX1011232	SRX1011233	SRX1011234	SRX1011235	SRX1011236	SRX1011237	SRX1011238	SRX1011239	SRX1011240	SRX1011241	SRX1011242	SRX1011243	SRX1011244	SRX1011245	SRX1011172	SRX1011174	SRX1011175	SRX1011176	SRX1011177	SRX1011178	SRX1011179	SRX1011180	SRX1011181	SRX1011182	SRX1011183	SRX1011184	SRX1011185	SRX1011186	SRX1011187	SRX1011188	SRX1011189	SRX1011190	SRX1011191	SRX1011192	SRX1011193	SRX1011195	SRX1011196	SRX1011197	SRX1011198	SRX1011199	SRX1011200	SRX1011201	SRX1011202	SRX1011203	SRX1011204	SRX1011205	SRX1011206	SRX1011207	SRX1011208	SRX1011209	SRX1011210	SRX1011211	SRX1011212	SRX1011213	SRX1011214	SRX1011215	SRX1011216	SRX1011217	SRX1011218	SRX1011219	SRX1011220	SRX1011221	SRX1011160	SRX1011161	SRX1011162	SRX1011163	SRX1011164	SRX1011165	SRX1011166	SRX1011167	SRX1011168	SRX1011169	SRX1011170	SRX1011171	SRX1011173
MBases_l	239	249	144	195	188	165	190	165	169	151	85	158	189	157	191	206	181	189	176	137	142	138	180	149	154	141	170	146	173	175	194	161	191	160	174	170	146	193	240	187	195	170	176	125	90	100	214	185	145	167	167	194	177	173	175	207	186	160	185	150	200	184	276	222	203	180	183	141	260	241	171	172	216	187	184	172	180	215	193	211	200	253	226	212	209	238	187	137	186	154	255	348	232	206	241	212	187	148	204	149	150	169	148
MBytes_l	149	156	93	124	118	105	120	105	107	96	55	101	119	100	122	131	116	119	113	87	91	88	116	95	99	90	107	93	110	112	122	104	123	103	111	108	94	123	152	119	124	109	111	79	56	62	133	115	92	104	105	123	112	108	110	129	117	99	115	95	126	115	171	141	126	112	114	88	162	149	107	109	135	116	115	106	113	135	123	135	126	161	143	135	133	150	119	88	119	98	160	215	143	129	148	130	116	88	128	94	93	107	93
Run_s	SRR1999151	SRR1999219	SRR1999218	SRR1999217	SRR1999216	SRR1999215	SRR1999203	SRR1999204	SRR1999205	SRR1999206	SRR1999207	SRR1999208	SRR1999209	SRR1999210	SRR1999211	SRR1999212	SRR1999213	SRR1999214	SRR1999179	SRR1999180	SRR1999181	SRR1999182	SRR1999183	SRR1999184	SRR1999185	SRR1999186	SRR1999187	SRR1999188	SRR1999189	SRR1999190	SRR1999191	SRR1999192	SRR1999193	SRR1999194	SRR1999195	SRR1999196	SRR1999197	SRR1999198	SRR1999199	SRR1999200	SRR1999201	SRR1999202	SRR1999129	SRR1999131	SRR1999132	SRR1999133	SRR1999134	SRR1999135	SRR1999136	SRR1999137	SRR1999138	SRR1999139	SRR1999140	SRR1999141	SRR1999142	SRR1999143	SRR1999144	SRR1999145	SRR1999146	SRR1999147	SRR1999148	SRR1999149	SRR1999150	SRR1999152	SRR1999153	SRR1999154	SRR1999155	SRR1999156	SRR1999157	SRR1999158	SRR1999159	SRR1999160	SRR1999161	SRR1999162	SRR1999163	SRR1999164	SRR1999165	SRR1999166	SRR1999167	SRR1999168	SRR1999169	SRR1999170	SRR1999171	SRR1999172	SRR1999173	SRR1999174	SRR1999175	SRR1999176	SRR1999177	SRR1999178	SRR1999117	SRR1999118	SRR1999119	SRR1999120	SRR1999121	SRR1999122	SRR1999123	SRR1999124	SRR1999125	SRR1999126	SRR1999127	SRR1999128	SRR1999130
SRA_Sample_s	SRS923100	SRS923101	SRS923102	SRS923103	SRS923104	SRS923105	SRS923117	SRS923116	SRS923115	SRS923114	SRS923113	SRS923112	SRS923111	SRS923110	SRS923109	SRS923108	SRS923107	SRS923106	SRS923141	SRS923140	SRS923139	SRS923138	SRS923137	SRS923136	SRS923135	SRS923134	SRS923133	SRS923132	SRS923131	SRS923130	SRS923129	SRS923128	SRS923127	SRS923126	SRS923125	SRS923124	SRS923123	SRS923122	SRS923121	SRS923120	SRS923119	SRS923118	SRS923189	SRS923188	SRS923187	SRS923186	SRS923185	SRS923184	SRS923183	SRS923182	SRS923180	SRS923181	SRS923179	SRS923177	SRS923178	SRS923176	SRS923175	SRS923174	SRS923173	SRS923172	SRS923170	SRS923171	SRS923169	SRS923168	SRS923167	SRS923166	SRS923165	SRS923164	SRS923163	SRS923162	SRS923161	SRS923160	SRS923159	SRS923158	SRS923156	SRS923157	SRS923155	SRS923154	SRS923153	SRS923152	SRS923151	SRS923148	SRS923150	SRS923147	SRS923149	SRS923144	SRS923146	SRS923143	SRS923145	SRS923142	SRS923202	SRS923200	SRS923201	SRS923199	SRS923198	SRS923197	SRS923196	SRS923194	SRS923195	SRS923193	SRS923191	SRS923192	SRS923190
Sample_Name_s	16S rRNA gene sequence_F-021C1-A	16S rRNA gene sequence_F-066C2-U	16S rRNA gene sequence_F-066C1-A	16S rRNA gene sequence_F-065C1-A	16S rRNA gene sequence_F-064C1-A	16S rRNA gene sequence_F-063C1-U	16S rRNA gene sequence_F-055C1-U	16S rRNA gene sequence_F-056C1-A	16S rRNA gene sequence_F-057C1-A	16S rRNA gene sequence_F-057C2-U	16S rRNA gene sequence_F-058C1-A	16S rRNA gene sequence_F-058C2-U	16S rRNA gene sequence_F-059C1-A	16S rRNA gene sequence_F-060C1-A	16S rRNA gene sequence_F-061C1-A	16S rRNA gene sequence_F-061C2-U	16S rRNA gene sequence_F-062C1-A	16S rRNA gene sequence_F-062C2-U	16S rRNA gene sequence_F-039C1-A	16S rRNA gene sequence_F-039C2-U	16S rRNA gene sequence_F-040C1-A	16S rRNA gene sequence_F-041C1-A	16S rRNA gene sequence_F-041C2-U	16S rRNA gene sequence_F-042C1-A	16S rRNA gene sequence_F-042C2-U	16S rRNA gene sequence_F-043C1-A	16S rRNA gene sequence_F-044C1-A	16S rRNA gene sequence_F-044C2-U	16S rRNA gene sequence_F-045C1-A	16S rRNA gene sequence_F-046C1-A	16S rRNA gene sequence_F-046C2-U	16S rRNA gene sequence_F-047C1-A	16S rRNA gene sequence_F-048C1-A	16S rRNA gene sequence_F-049C1-U	16S rRNA gene sequence_F-050C1-A	16S rRNA gene sequence_F-050C2-U	16S rRNA gene sequence_F-051C1-A	16S rRNA gene sequence_F-051C2-U	16S rRNA gene sequence_F-052C1-U	16S rRNA gene sequence_F-053C1-U	16S rRNA gene sequence_F-054C1-A	16S rRNA gene sequence_F-054C2-U	16S rRNA gene sequence_F-008C1-A	16S rRNA gene sequence_F-009C1-A	16S rRNA gene sequence_F-009C2-U	16S rRNA gene sequence_F-010C1-A	16S rRNA gene sequence_F-011C1-A	16S rRNA gene sequence_F-012C1-A	16S rRNA gene sequence_F-013C1-U	16S rRNA gene sequence_F-014C1-A	16S rRNA gene sequence_F-014C2-U	16S rRNA gene sequence_F-015C1-A	16S rRNA gene sequence_F-015C2-U	16S rRNA gene sequence_F-016C1-A	16S rRNA gene sequence_F-016C2-U	16S rRNA gene sequence_F-017C1-A	16S rRNA gene sequence_F-017C2-U	16S rRNA gene sequence_F-018C1-A	16S rRNA gene sequence_F-018C2-U	16S rRNA gene sequence_F-019C1-A	16S rRNA gene sequence_F-019C2-U	16S rRNA gene sequence_F-020C1-A	16S rRNA gene sequence_F-020C2-U	16S rRNA gene sequence_F-021C2-U	16S rRNA gene sequence_F-022C1-A	16S rRNA gene sequence_F-022C2-U	16S rRNA gene sequence_F-023C1-A	16S rRNA gene sequence_F-023C2-U	16S rRNA gene sequence_F-024C1-A	16S rRNA gene sequence_F-024C2-U	16S rRNA gene sequence_F-025C1-A	16S rRNA gene sequence_F-025C2-U	16S rRNA gene sequence_F-026C1-A	16S rRNA gene sequence_F-027C1-A	16S rRNA gene sequence_F-027C2-U	16S rRNA gene sequence_F-028C1-A	16S rRNA gene sequence_F-028C2-U	16S rRNA gene sequence_F-029C1-A	16S rRNA gene sequence_F-029C2-U	16S rRNA gene sequence_F-030C1-A	16S rRNA gene sequence_F-030C2-U	16S rRNA gene sequence_F-031C1-U	16S rRNA gene sequence_F-032C1-A	16S rRNA gene sequence_F-033C1-A	16S rRNA gene sequence_F-034C1-A	16S rRNA gene sequence_F-035C1-A	16S rRNA gene sequence_F-036C1-A	16S rRNA gene sequence_F-037C1-A	16S rRNA gene sequence_F-037C2-U	16S rRNA gene sequence_F-038C1-A	16S rRNA gene sequence_F-001C1-A	16S rRNA gene sequence_F-001C2-U	16S rRNA gene sequence_F-002C1-A	16S rRNA gene sequence_F-002C2-U	16S rRNA gene sequence_F-003C1-A	16S rRNA gene sequence_F-003C2-U	16S rRNA gene sequence_F-004C1-A	16S rRNA gene sequence_F-004C2-U	16S rRNA gene sequence_F-005C1-A	16S rRNA gene sequence_F-006C1-A	16S rRNA gene sequence_F-007C1-A	16S rRNA gene sequence_F-007C2-U	16S rRNA gene sequence_F-008C2-U
host_disease_s	ASD	Neurotypical	ASD	ASD	ASD	Neurotypical	Neurotypical	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	Neurotypical	Neurotypical	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	Neurotypical	ASD	ASD	ASD	ASD	ASD	ASD	Neurotypical	ASD	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	Neurotypical	ASD	ASD	ASD	Neurotypical	Neurotypical
host_sex_s	male	female	female	male	male	male	male	male	female	male	male	female	male	male	male	male	male	female	male	female	male	male	female	male	male	female	male	female	male	male	male	male	male	female	male	female	male	female	male	female	male	male	female	male	male	male	male	male	male	male	female	male	male	male	female	female	male	male	female	male	female	male	male	female	male	male	male	male	male	male	male	female	male	male	female	male	male	male	female	male	female	male	male	male	male	male	male	male	female	male	male	female	male	male	female	female	female	male	male	male	male	female	male
host_subject_id_s	F-021C1-A	F-066C2-U	F-066C1-A	F-065C1-A	F-064C1-A	F-063C1-U	F-055C1-U	F-056C1-A	F-057C1-A	F-057C2-U	F-058C1-A	F-058C2-U	F-059C1-A	F-060C1-A	F-061C1-A	F-061C2-U	F-062C1-A	F-062C2-U	F-039C1-A	F-039C2-U	F-040C1-A	F-041C1-A	F-041C2-U	F-042C1-A	F-042C2-U	F-043C1-A	F-044C1-A	F-044C2-U	F-045C1-A	F-046C1-A	F-046C2-U	F-047C1-A	F-048C1-A	F-049C1-U	F-050C1-A	F-050C2-U	F-051C1-A	F-051C2-U	F-052C1-U	F-053C1-U	F-054C1-A	F-054C2-U	F-008C1-A	F-009C1-A	F-009C2-U	F-010C1-A	F-011C1-A	F-012C1-A	F-013C1-U	F-014C1-A	F-014C2-U	F-015C1-A	F-015C2-U	F-016C1-A	F-016C2-U	F-017C1-A	F-017C2-U	F-018C1-A	F-018C2-U	F-019C1-A	F-019C2-U	F-020C1-A	F-020C2-U	F-021C2-U	F-022C1-A	F-022C2-U	F-023C1-A	F-023C2-U	F-024C1-A	F-024C2-U	F-025C1-A	F-025C2-U	F-026C1-A	F-027C1-A	F-027C2-U	F-028C1-A	F-028C2-U	F-029C1-A	F-029C2-U	F-030C1-A	F-030C2-U	F-031C1-U	F-032C1-A	F-033C1-A	F-034C1-A	F-035C1-A	F-036C1-A	F-037C1-A	F-037C2-U	F-038C1-A	F-001C1-A	F-001C2-U	F-002C1-A	F-002C2-U	F-003C1-A	F-003C2-U	F-004C1-A	F-004C2-U	F-005C1-A	F-006C1-A	F-007C1-A	F-007C2-U	F-008C2-U
Assay_Type_s	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON	AMPLICON
